genre,title,director,cast,country,published_at,release_year,rating,duration,listed_in,description
TV Show,21 Again,,Laura Morgan,United Kingdom,1-Jul-20,2019,TV-MA,1 Season,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z."
TV Show,21 Sarfarosh: Saragarhi 1897,,"Luke Kenny, Mohit Raina, Mukul Dev",India,1-Dec-18,2018,TV-14,1 Season,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans."
TV Show,21 Thunder,,"Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore",Canada,1-Mar-18,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence."
Movie,2307: Winter's Dream,Joey Curtis,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley",United States,1-Mar-18,2016,TV-MA,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion."
Movie,24 Hours to Live,Brian Smrz,"Ethan Hawke, Xu Qing, Paul Anderson, Rutger Hauer, Tyrone Keogh, Nathalie Boltt, Liam Cunningham","South Africa, China, United States",7-Apr-18,2017,R,93 min,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself."
Movie,25 Kille,Simranjit Singh Hundal,"Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi",India,1-Oct-18,2016,TV-14,140 min,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
Movie,26 Years,Geun-hyun Cho,"Goo Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im, Kyeong-yeong Lee, Gwang Jang, Deok-jae Jo, Eui-sung Kim, Seok-Hwan An, Bok-gi Min",South Korea,1-Oct-17,2012,TV-MA,135 min,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator."
Movie,"27, el club de los malditos",Nicanor Loreti,"Diego Capusotto, Sofía Gala, Daniel Aráoz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo",Argentina,1-May-18,2018,TV-MA,82 min,"Action & Adventure, Comedies, International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
Movie,27: Gone Too Soon,Simon Napier-Bell,"Janis Joplin, Jimi Hendrix, Amy Winehouse, Jim Morrison, Kurt Cobain",United Kingdom,1-May-18,2017,TV-MA,70 min,Documentaries,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse."
Movie,28 Days,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste",United States,30-Sep-20,2000,PG-13,104 min,"Comedies, Dramas","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook."
TV Show,28 Moons,,"Jin-sung Yang, Kyu-jong Kim, Tae-hwan Kang, Geummi",South Korea,10-Jun-17,2016,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper."
Movie,3 Days to Kill,McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia",1-Dec-20,2014,PG-13,117 min,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
Movie,3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas",,31-Dec-19,2003,TV-MA,121 min,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them."
Movie,3 Generations,Gaby Dellal,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson",United States,28-Aug-17,2015,PG-13,92 min,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father."
Movie,3 Heroines,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Indonesia,5-Jan-19,2016,TV-PG,124 min,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.
Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,1-Aug-19,2009,PG-13,164 min,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
Movie,3 Seconds Divorce,Shazia Javed,,Canada,15-Jun-19,2018,TV-PG,53 min,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights."
Movie,3 Türken & ein Baby,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,15-Dec-16,2015,TV-MA,93 min,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
Movie,30 Days of Luxury,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar",Egypt,18-Apr-19,2016,TV-14,91 min,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub."
Movie,30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward",United States,1-Jan-21,2011,R,83 min,"Action & Adventure, Comedies",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.
Movie,300 Miles to Heaven,Maciej Dejczer,"Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata","Denmark, France, Poland",1-Oct-19,1989,TV-14,93 min,"Dramas, International Movies","Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home."
Movie,365 Days,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski",Poland,7-Jun-20,2020,TV-MA,114 min,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
Movie,37 Seconds,Hikari,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi",Japan,31-Jan-20,2020,TV-MA,116 min,"Dramas, International Movies","Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation."
TV Show,3Below: Tales of Arcadia,,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost, Glenn Close, Alon Aboutboul, Hayley Atwell, Darin De Paul, Andy Garcia, Cheryl Hines, Tom Kenny, Chris Obi, Cole Sand, Frank Welker, Steven Yeun",United States,12-Jul-19,2019,TV-Y7,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
Movie,40 Sticks,Victor Gatonye,"Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya",Kenya,20-Nov-20,2019,TV-14,93 min,"International Movies, Thrillers","When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer."
Movie,42 Grams,Jack C. Newell,Jake Bickelhaupt,United States,1-Feb-18,2017,TV-MA,81 min,Documentaries,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery."
TV Show,44 Cats,,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin",Italy,1-Oct-20,2018,TV-Y7,2 Seasons,Kids' TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together."
TV Show,45 rpm,,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,16-Aug-19,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel."
Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck","Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew",Canada,20-Dec-17,2017,TV-G,84 min,"Children & Family Movies, Comedies","When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish."
Movie,4L,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",Spain,12-Jul-19,2019,TV-MA,105 min,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter."
Movie,4th Man Out,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein",United States,5-May-16,2015,NR,86 min,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy."
Movie,4th Republic,Ishaya Bako,"Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",Nigeria,13-Jun-20,2019,TV-MA,120 min,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory."
Movie,5 Cowok Jagoan,Anggy Umbara,"Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman",,5-Jan-19,2017,TV-MA,106 min,"Action & Adventure, Comedies, International Movies",Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
Movie,5 Flights Up,Richard Loncraine,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",United States,17-Mar-19,2014,PG-13,92 min,"Comedies, Dramas, Independent Movies","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one."
Movie,5 Star Christmas,Marco Risi,"Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni",Italy,7-Dec-18,2018,TV-14,96 min,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy."
Movie,5 to 7,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close",United States,16-Mar-17,2014,R,97 min,"Comedies, Dramas, Romantic Movies",A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.
Movie,50 First Dates,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",United States,1-Dec-20,2004,PG-13,99 min,"Comedies, Romantic Movies","After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day."
Movie,50/50,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",United States,1-Jun-19,2011,R,100 min,"Comedies, Dramas, Independent Movies",An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.
Movie,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,28-Sep-18,2012,TV-14,126 min,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship."
Movie,5Gang,Matei Dima,"Andrei Selaru, Dorian Popa, Julia Marcan, Ana Radu, Cosmin Nedelcu, Diana Condurache, Andrei Gavril, Luca Bogdan",Romania,27-Apr-20,2019,TV-14,96 min,"Comedies, International Movies","To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter — until he gets kidnapped."
Movie,6 Balloons,Marja Lewis Ryan,"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock",United States,6-Apr-18,2018,TV-MA,75 min,"Dramas, Independent Movies",A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.
Movie,6 Days,Toa Fraser,"Jamie Bell, Abbie Cornish, Mark Strong, Martin Shaw, Ben Turner, Aymen Hamdouchi, Tim Pigott-Smith, Robert Portal, Colin Garlick, Andrew Grainger, Martin Hancock, Emun Elliott","New Zealand, United Kingdom",8-Feb-18,2017,R,94 min,"Action & Adventure, Dramas, International Movies","When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid."
Movie,6 Underground,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold",United States,13-Dec-19,2019,R,129 min,"Action & Adventure, Dramas","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
Movie,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,8-Sep-15,2015,TV-MA,80 min,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
Movie,6-5=2,Bharat Jain,"Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor, Niharica Raizada, Ashrut Jain, Darshan Machamada",India,1-Nov-17,2014,TV-MA,103 min,"Horror Movies, International Movies, Thrillers","Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical."
TV Show,60 Days In,,,United States,1-Nov-20,2019,TV-MA,1 Season,Reality TV,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries."
Movie,68 Kill,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust",United States,1-Sep-19,2017,R,96 min,"Comedies, Independent Movies, Thrillers",A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.
TV Show,7 (Seven),Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,30-Jul-19,2019,TV-14,1 Season,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
Movie,7 años,Roger Gual,"Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón",Spain,27-Oct-16,2016,TV-MA,77 min,"Dramas, International Movies",Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.
TV Show,7 Days Out,,,United States,21-Dec-18,2018,TV-PG,1 Season,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food."
Movie,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi","Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah",Pakistan,15-May-19,2018,TV-PG,137 min,"Comedies, International Movies, Music & Musicals","Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife."
Movie,7 Khoon Maaf,Vishal Bhardwaj,"Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma",India,2-Aug-18,2011,TV-MA,148 min,"Dramas, International Movies, Thrillers","Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
TV Show,72 Cutest Animals,,,Australia,1-Jun-16,2016,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.
TV Show,72 Dangerous Animals: Asia,,Bob Brisbane,Australia,10-Aug-18,2018,TV-14,1 Season,"Docuseries, International TV Shows, Science & Nature TV","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?"
TV Show,72 Dangerous Animals: Latin America,,Bob Brisbane,"Australia, United States",22-Dec-17,2017,TV-14,1 Season,"Docuseries, International TV Shows, Science & Nature TV","Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures."
